LocationID,lat,lon,borough
1,40.69183120640153,-74.17400027276302,EWR
2,40.61674529165981,-73.83129854302207,Queens
3,40.864473684775454,-73.84742223236715,Bronx
4,40.7237521415848,-73.97696825691766,Manhattan
5,40.552659286945634,-74.18848410184924,Staten Island
6,40.60032414603461,-74.0717705589513,Staten Island
7,40.76149256216373,-73.9196943194606,Queens
8,40.778558653750736,-73.92308615750753,Queens
9,40.75103502557229,-73.7879488777789,Queens
10,40.678953310115254,-73.79098635986959,Queens
11,40.604272840030774,-74.00748815801177,Brooklyn
12,40.7029458349847,-74.01556351255897,Manhattan
13,40.712038157074474,-74.01607915192925,Manhattan
14,40.624834923608205,-74.02989237418788,Brooklyn
15,40.78333304726096,-73.78597227877705,Queens
16,40.76273837544242,-73.77342181890134,Queens
17,40.69150749488065,-73.94990503507508,Brooklyn
18,40.867682456075414,-73.89018328872034,Bronx
19,40.73548677976339,-73.72665537528711,Queens
20,40.857779675441584,-73.88586748106962,Bronx
21,40.601429439835165,-73.98353709672233,Brooklyn
22,40.612218257805615,-73.99525857986231,Brooklyn
23,40.60644770102759,-74.1708868815526,Staten Island
24,40.80197049389964,-73.96547951516968,Manhattan
25,40.68563374132064,-73.98611382213664,Brooklyn
26,40.63094965524548,-73.98866123078288,Brooklyn
27,40.55913327946765,-73.90690832237595,Queens
28,40.71159635794509,-73.80872901637518,Queens
29,40.58092197193381,-73.96121676866852,Brooklyn
30,40.60368744213567,-73.82192695679416,Queens
31,40.8577466809159,-73.87547595053037,Bronx
32,40.86400220602363,-73.8649009987672,Bronx
33,40.69579822121126,-73.99525011996623,Brooklyn
34,40.70085573851714,-73.97118869233036,Brooklyn
35,40.664003117925986,-73.91025783136135,Brooklyn
36,40.70052219951919,-73.91771053131578,Brooklyn
37,40.69499431844211,-73.92224002165723,Brooklyn
38,40.69434146723171,-73.73555427058822,Queens
39,40.63803713911706,-73.8997349566939,Brooklyn
40,40.679199014097094,-73.99595619089148,Brooklyn
41,40.80433394979461,-73.95129200243511,Manhattan
42,40.818257861119235,-73.94077166756264,Manhattan
43,40.78247809974789,-73.96555356545916,Manhattan
44,40.52549458176382,-74.2335335493765,Staten Island
45,40.71245931177948,-73.99815149899047,Manhattan
46,40.84908594313967,-73.78198714613217,Bronx
47,40.84274917609803,-73.90031590586486,Bronx
48,40.762252755319366,-73.98984464313301,Manhattan
49,40.687967457147465,-73.9623635381836,Brooklyn
50,40.76623772504186,-73.99513522075517,Manhattan
51,40.87397305492024,-73.82826367307186,Bronx
52,40.68665124165606,-73.99672403175194,Brooklyn
53,40.78091235579126,-73.84281349543204,Queens
54,40.68720074733727,-74.00291127745284,Brooklyn
55,40.57696075363783,-73.98794343407195,Brooklyn
56,40.74140677482976,-73.85884524943998,Queens
57,40.751819366999456,-73.85358156034266,Queens
58,40.841452100682524,-73.82039319252785,Bronx
59,40.83855028852789,-73.89498588493974,Bronx
60,40.83399047727385,-73.88590003419152,Bronx
61,40.674469418266476,-73.93928705867957,Brooklyn
62,40.66654040578564,-73.94878853931499,Brooklyn
63,40.683839761951035,-73.8781726105025,Brooklyn
64,40.76061560532153,-73.73933714992867,Queens
65,40.695337529461135,-73.98608600498395,Brooklyn
66,40.7022589388225,-73.98570161582288,Brooklyn
67,40.619619467835136,-74.01380148744008,Brooklyn
68,40.748427555065724,-73.99991742024712,Manhattan
69,40.831416697085196,-73.91502929553266,Bronx
70,40.763352201133145,-73.86839559842018,Queens
71,40.64428817438921,-73.93796627061694,Brooklyn
72,40.65236480407742,-73.92225097400495,Brooklyn
73,40.75410888689297,-73.80729418212229,Queens
74,40.801169480586516,-73.93734560812497,Manhattan
75,40.79001075149546,-73.94575026755157,Manhattan
76,40.660935196550525,-73.87682061127194,Brooklyn
77,40.66655893903529,-73.89536411750328,Brooklyn
78,40.84496041014611,-73.88552181587427,Bronx
79,40.727620195909545,-73.98593745682462,Manhattan
80,40.71536988214357,-73.93679314491885,Brooklyn
81,40.88093541148944,-73.83664334408303,Bronx
82,40.739495646778145,-73.87711833280913,Queens
83,40.73832381382601,-73.89217338112861,Queens
84,40.52868644656618,-74.18767433468817,Staten Island
85,40.64611634689508,-73.95162318261012,Brooklyn
86,40.60243279341673,-73.75524369679601,Queens
87,40.70680845166585,-74.00749598562427,Manhattan
88,40.70335790323616,-74.01151502922326,Manhattan
89,40.63790012347376,-73.9609682490637,Brooklyn
90,40.74227862901228,-73.99697141558364,Manhattan
91,40.62627276333646,-73.93009701219945,Brooklyn
92,40.76110218983439,-73.82885869884261,Queens
93,40.740675872160615,-73.84086726234149,Queens
94,40.858155196184065,-73.89953593442154,Bronx
95,40.72143227502133,-73.84766941187526,Queens
96,40.69700061310114,-73.87155842518149,Queens
97,40.690786794210936,-73.974882086189,Brooklyn
98,40.73446262820091,-73.77725346665984,Queens
99,40.57677363548707,-74.18641851305921,Staten Island
100,40.75351275872571,-73.98878659911529,Manhattan
101,40.74599381838422,-73.71102598691236,Queens
102,40.7035456107629,-73.87573576709775,Queens
103,40.689860103660195,-74.04528829364004,Manhattan
104,40.698768673626134,-74.04077076873645,Manhattan
105,40.68878423861296,-74.01907272636831,Manhattan
106,40.67351279686077,-73.99064727363114,Brooklyn
107,40.73682405761897,-73.98405213268919,Manhattan
108,40.588403465290384,-73.98143115020055,Brooklyn
109,40.55186299807707,-74.15088980760535,Staten Island
110,40.54578031659563,-74.12834244237268,Staten Island
111,40.65213727041904,-73.99023450433013,Brooklyn
112,40.729506284208874,-73.94954030482207,Brooklyn
113,40.732579073027026,-73.99430477051166,Manhattan
114,40.72834039137229,-73.99738026020042,Manhattan
115,40.617971375889255,-74.08783880974953,Staten Island
116,40.827012654925376,-73.94852173020877,Manhattan
117,40.59405875281401,-73.78962208250081,Queens
118,40.58655462662628,-74.13297872511697,Staten Island
119,40.83782699169886,-73.92615723620786,Bronx
120,40.84666774830275,-73.93018219742838,Manhattan
121,40.72833332297307,-73.80244428186222,Queens
122,40.71063928425105,-73.76113699730597,Queens
123,40.59995429251391,-73.96433367133902,Brooklyn
124,40.658247961230614,-73.84491858438533,Queens
125,40.7262904102812,-74.0074858180095,Manhattan
126,40.81207445859209,-73.88553752149434,Bronx
127,40.86607500072781,-73.91930823586193,Manhattan
128,40.87237880957358,-73.92436981716105,Manhattan
129,40.75731206303919,-73.88531724061083,Queens
130,40.70436877745512,-73.79397965822719,Queens
131,40.72065523874958,-73.77610076139925,Queens
132,40.646984892395146,-73.78653298334974,Queens
133,40.640590070674484,-73.9761989895133,Brooklyn
134,40.70805099798807,-73.82871246597531,Queens
135,40.72837768325732,-73.8211959038747,Queens
136,40.86526419152492,-73.90591118270514,Bronx
137,40.740438978596416,-73.97649472376759,Manhattan
138,40.77437570593248,-73.87362864289108,Queens
139,40.67709779790901,-73.74423435166719,Queens
140,40.765484087889845,-73.95473878380504,Manhattan
141,40.76694821638323,-73.9596347414917,Manhattan
142,40.77363329302709,-73.98153220639179,Manhattan
143,40.775965228760995,-73.98764554944388,Manhattan
144,40.72088889344526,-73.99691854183823,Manhattan
145,40.74537943399853,-73.94889145447938,Queens
146,40.754242520500306,-73.93482888929138,Queens
147,40.81967597930491,-73.89895638182651,Bronx
148,40.71893835938027,-73.99089626184735,Manhattan
149,40.60491359556376,-73.94813559494116,Brooklyn
150,40.58047327426203,-73.9436287218056,Brooklyn
151,40.79796199310004,-73.96816833309238,Manhattan
152,40.81797514762945,-73.95378223705632,Manhattan
153,40.87596780221243,-73.91037866410586,Manhattan
154,40.593570836585116,-73.90259658693107,Brooklyn
155,40.61459098927571,-73.91527709386854,Brooklyn
156,40.63130769285307,-74.16723534170721,Staten Island
157,40.72399507493352,-73.90232968131373,Queens
158,40.735035400696646,-74.00898410478531,Manhattan
159,40.81825974768985,-73.91284939799152,Bronx
160,40.71833677001376,-73.88005140814958,Queens
161,40.75802804352625,-73.97769793122406,Manhattan
162,40.75668765218883,-73.9723559435203,Manhattan
163,40.764421405786784,-73.97756868222716,Manhattan
164,40.74857462935672,-73.98515639467682,Manhattan
165,40.62092404874621,-73.956824605838,Brooklyn
166,40.80945696112527,-73.96176359682919,Manhattan
167,40.82751255686402,-73.90235177500074,Bronx
168,40.80734716766525,-73.91682193806456,Bronx
169,40.84905837739125,-73.90512221938542,Bronx
170,40.7477457936439,-73.97849159965224,Manhattan
171,40.768351626308466,-73.80954582099433,Queens
172,40.571768892932596,-74.10501900721488,Staten Island
173,40.75257923914961,-73.86303754486688,Queens
174,40.87713760287661,-73.87902225226023,Bronx
175,40.74267210348265,-73.75462173612374,Queens
176,40.5619942345841,-74.1225840297696,Staten Island
177,40.67664410104019,-73.91363213611349,Brooklyn
178,40.617314937151725,-73.97032580128301,Brooklyn
179,40.7715702435834,-73.92833318686124,Queens
180,40.675594990706735,-73.84704317269406,Queens
181,40.670374325917244,-73.98141374048748,Brooklyn
182,40.837748664353555,-73.85798694048577,Bronx
183,40.849172617182596,-73.83158179959665,Bronx
184,40.86827620354778,-73.80785726631287,Bronx
185,40.85440471268922,-73.85439380221176,Bronx
186,40.748497181405,-73.99243753697608,Manhattan
187,40.62816687457197,-74.14078750231764,Staten Island
188,40.658744450856695,-73.94744164500473,Brooklyn
189,40.67763538934727,-73.96758681222951,Brooklyn
190,40.661622158356835,-73.96891374270628,Brooklyn
191,40.71545451530522,-73.74153176997542,Queens
192,40.74375148543155,-73.81522935845769,Queens
193,40.760313635026975,-73.94199705818421,Queens
194,40.79100078171128,-73.92459630024574,Manhattan
195,40.675548862280905,-74.00917849113303,Brooklyn
196,40.72615563957924,-73.86333855806275,Queens
197,40.69454235438129,-73.83092407449995,Queens
